bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	var_id	var_name	var_value	var_reduced_cost	total_penalty
50	C BdftHarv 9 - time period 9	FREE	1.0	null	null	null	null	71	v_48	4.504951752938749E8	0.0	0.0
51	C BdftHarv 10 - time period 10	FREE	1.0	null	null	null	null	72	v_49	4.634144198479273E8	0.0	0.0
52	C BdftHarv 11 - time period 11	FREE	1.0	null	null	null	null	73	v_50	4.5414613145096874E8	0.0	0.0
53	C BdftHarv 12 - time period 12	FREE	1.0	null	null	null	null	74	v_51	4.4506320882194936E8	0.0	0.0
54	C BdftHarv 13 - time period 13	FREE	1.0	null	null	null	null	75	v_52	5.470615890391886E8	0.0	0.0
55	C BdftHarv 14 - time period 14	FREE	1.0	null	null	null	null	76	v_53	5.361203572584048E8	0.0	0.0
56	C BdftHarv 15 - time period 15	FREE	1.0	null	null	null	null	77	v_54	5.2539795011323667E8	0.0	0.0
57	C BdftHarv 16 - time period 16	FREE	1.0	null	null	null	null	78	v_55	5.148899911109719E8	0.0	0.0
58	C BdftHarv 17 - time period 17	FREE	1.0	null	null	null	null	79	v_56	5.045921912887525E8	0.0	0.0
59	C BdftHarv 18 - time period 18	FREE	1.0	null	null	null	null	80	v_57	4.945003474629774E8	0.0	0.0
60	C BdftHarv 19 - time period 19	FREE	1.0	null	null	null	null	81	v_58	4.8461034051371783E8	0.0	0.0
61	C BdftHarv 20 - time period 20	FREE	1.0	null	null	null	null	82	v_59	4.7491813370344347E8	0.0	0.0
62	AvgInv SU cuft 10-19	FREE	0.1	null	null	null	null	83	v_60	2.6548881099711723E10	0.0	0.0
63	cuft SU Per 20	FREE	1.0	null	null	null	null	84	v_61	2.673683724652805E10	0.0	0.0
64	msf 1 - time period 1	HARD	1.0	45000.0	null	null	null	3	z_0	45000.000000000015	0.0	0.0
65	msf 2 - time period 2	HARD	1.0	45000.0	null	null	null	4	z_1	52971.64000000003	0.0	0.0
66	msf 3 - time period 3	HARD	1.0	45000.0	null	null	null	5	z_2	45000.0	0.0	0.0
67	msf 4 - time period 4	HARD	1.0	45000.0	null	null	null	6	z_3	45000.00000000001	0.0	0.0
68	msf 5 - time period 5	HARD	1.0	45000.0	null	null	null	7	z_4	44999.999999999985	0.0	0.0
69	msf 6 - time period 6	HARD	1.0	45000.0	null	null	null	8	z_5	45000.000000000015	0.0	0.0
70	msf 7 - time period 7	HARD	1.0	45000.0	null	null	null	9	z_6	52971.64000000003	0.0	0.0
71	msf 8 - time period 8	HARD	1.0	45000.0	null	null	null	10	z_7	45000.0	0.0	0.0
72	msf 9 - time period 9	HARD	1.0	45000.0	null	null	null	11	z_8	45000.00000000001	0.0	0.0
73	msf 10 - time period 10	HARD	1.0	45000.0	null	null	null	12	z_9	44999.999999999985	0.0	0.0
74	msf 11 - time period 11	HARD	1.0	45000.0	null	null	null	13	z_10	45000.000000000015	0.0	0.0
75	msf 12 - time period 12	HARD	1.0	45000.0	null	null	null	14	z_11	52971.64000000003	0.0	0.0
76	msf 13 - time period 13	HARD	1.0	45000.0	null	null	null	15	z_12	45000.0	0.0	0.0
77	msf 14 - time period 14	HARD	1.0	45000.0	null	null	null	16	z_13	45000.00000000001	0.0	0.0
78	msf 15 - time period 15	HARD	1.0	45000.0	null	null	null	17	z_14	44999.999999999985	0.0	0.0
79	msf 16 - time period 16	HARD	1.0	45000.0	null	null	null	18	z_15	45000.000000000015	0.0	0.0
80	msf 17 - time period 17	HARD	1.0	45000.0	null	null	null	19	z_16	52971.64000000003	0.0	0.0
81	msf 18 - time period 18	HARD	1.0	45000.0	null	null	null	20	z_17	45000.0	0.0	0.0
82	msf 19 - time period 19	HARD	1.0	45000.0	null	null	null	21	z_18	45000.00000000001	0.0	0.0
83	msf 20 - time period 20	HARD	1.0	45000.0	null	null	null	22	z_19	44999.999999999985	0.0	0.0
