strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres
BRORCL	B	R	O	R	C	L	0.0	0.0	0.0	1562.67	48.33
BRPLWS	B	R	P	L	W	S	0.0	0.0	0.0	134.83	4.17
BRPLWP	B	R	P	L	W	P	0.0	0.0	0.0	82.45	2.55
BRPLWM	B	R	P	L	W	M	0.0	0.0	0.0	65.96	2.04
BRPLWL	B	R	P	L	W	L	0.0	0.0	0.0	411.28	12.719999999999999
BRPLCS	B	R	P	L	C	S	0.0	0.0	0.0	150.35	4.6499999999999995
BRPLCP	B	R	P	L	C	P	0.0	0.0	0.0	51.41	1.5899999999999999
BRPLCM	B	R	P	L	C	M	0.0	0.0	0.0	82.45	2.55
BRPLCL	B	R	P	L	C	L	0.0	0.0	0.0	456.87	14.129999999999999
BRPLIL	B	R	P	L	I	L	0.0	0.0	0.0	69.84	2.16
BRPLAM	B	R	P	L	A	M	0.0	0.0	0.0	74.69	2.31
BRPLAL	B	R	P	L	A	L	0.0	0.0	0.0	82.45	2.55
BRPHWP	B	R	P	H	W	P	0.0	0.0	0.0	73.72	2.28
BRPHWM	B	R	P	H	W	M	0.0	0.0	0.0	196.91	6.09
BRPHWL	B	R	P	H	W	L	0.0	0.0	0.0	314.28	9.719999999999999
BRPHCM	B	R	P	H	C	M	0.0	0.0	0.0	323.01	9.99
BRPHCL	B	R	P	H	C	L	0.0	0.0	0.0	624.68	19.32
BRPHLL	B	R	P	H	L	L	0.0	0.0	0.0	76.63	2.37
BRPCPS	B	R	P	C	P	S	0.0	0.0	0.0	51.41	1.5899999999999999
BRPCPL	B	R	P	C	P	L	0.0	0.0	0.0	284.21	8.79
BRPCDS	B	R	P	C	D	S	0.0	0.0	0.0	64.99	2.01
BRPCDL	B	R	P	C	D	L	0.0	0.0	0.0	210.49	6.51
BRPCWS	B	R	P	C	W	S	0.0	0.0	0.0	450.08	13.92
BRPCWP	B	R	P	C	W	P	0.0	0.0	0.0	268.69	8.31
BRPCWM	B	R	P	C	W	M	0.0	0.0	0.0	155.2	4.8
BRPCWL	B	R	P	C	W	L	0.0	0.0	0.0	1131.99	35.01
BRPCCS	B	R	P	C	C	S	0.0	0.0	0.0	380.24	11.76
BRPCCP	B	R	P	C	C	P	0.0	0.0	0.0	62.08	1.92
BRPCCM	B	R	P	C	C	M	0.0	0.0	0.0	212.43	6.569999999999999
BRPCCL	B	R	P	C	C	L	0.0	0.0	0.0	1024.32	31.68
BRPCIS	B	R	P	C	I	S	0.0	0.0	59.17	0.0	1.8299999999999998
BRPCIL	B	R	P	C	I	L	0.0	0.0	0.0	161.99	5.01
BRPCAS	B	R	P	C	A	S	0.0	74.69	0.0	0.0	2.31
BRPCAL	B	R	P	C	A	L	0.0	0.0	0.0	83.42	2.58
BRPRPS	B	R	P	R	P	S	0.0	0.0	0.0	55.29	1.71
BRPRPM	B	R	P	R	P	M	0.0	0.0	0.0	157.14	4.859999999999999
BRPRPL	B	R	P	R	P	L	0.0	0.0	0.0	466.57	14.43
BRPRDS	B	R	P	R	D	S	0.0	0.0	0.0	268.69	8.31
BRPRDM	B	R	P	R	D	M	0.0	0.0	0.0	333.68	10.32
BRPRDL	B	R	P	R	D	L	0.0	0.0	0.0	1152.36	35.64
BRPRWS	B	R	P	R	W	S	0.0	0.0	0.0	537.38	16.62
BRPRWP	B	R	P	R	W	P	0.0	0.0	0.0	361.81	11.19
BRPRWM	B	R	P	R	W	M	0.0	0.0	0.0	1690.71	52.29
BRPRWL	B	R	P	R	W	L	0.0	0.0	0.0	5118.69	158.31
BRPRCS	B	R	P	R	C	S	0.0	0.0	0.0	387.03	11.969999999999999
BRPRCP	B	R	P	R	C	P	0.0	0.0	0.0	382.18	11.82
BRPRCM	B	R	P	R	C	M	0.0	0.0	0.0	2529.76	78.24
BRPRCL	B	R	P	R	C	L	0.0	0.0	0.0	7360.36	227.64
BRPRIP	B	R	P	R	I	P	0.0	0.0	0.0	53.35	1.65
BRPRIL	B	R	P	R	I	L	0.0	0.0	0.0	89.24	2.76
BRPRAL	B	R	P	R	A	L	0.0	0.0	0.0	50.44	1.56
BRPRLL	B	R	P	R	L	L	0.0	0.0	0.0	78.57	2.4299999999999997
BNNLPL	B	N	N	L	P	L	0.0	0.0	0.0	89.24	2.76
BNNLDL	B	N	N	L	D	L	0.0	0.0	0.0	56.26	1.74
BNNLWS	B	N	N	L	W	S	0.0	0.0	0.0	72.75	2.25
BNNLWP	B	N	N	L	W	P	0.0	0.0	0.0	62.08	1.92
BNNLWM	B	N	N	L	W	M	0.0	0.0	0.0	326.89	10.11
BNNLWL	B	N	N	L	W	L	0.0	0.0	0.0	1109.68	34.32
BNNLCS	B	N	N	L	C	S	0.0	0.0	0.0	97.0	3.0
BNNLCM	B	N	N	L	C	M	0.0	0.0	0.0	384.12	11.879999999999999
BNNLCL	B	N	N	L	C	L	0.0	0.0	0.0	1354.12	41.879999999999995
BNNLIS	B	N	N	L	I	S	0.0	0.0	0.0	135.8	4.2
BNNLIM	B	N	N	L	I	M	0.0	0.0	0.0	210.49	6.51
BNNLIL	B	N	N	L	I	L	0.0	0.0	0.0	234.74	7.26
BNNLAS	B	N	N	L	A	S	0.0	0.0	0.0	83.42	2.58
BNNLAM	B	N	N	L	A	M	0.0	0.0	0.0	152.29	4.71
BNNLAL	B	N	N	L	A	L	0.0	0.0	0.0	366.66	11.34
BNNLLM	B	N	N	L	L	M	0.0	0.0	0.0	72.75	2.25
BNNHCL	B	N	N	H	C	L	0.0	0.0	0.0	68.87	2.13
BNNCPM	B	N	N	C	P	M	0.0	0.0	0.0	881.73	27.27
BNNCPL	B	N	N	C	P	L	0.0	0.0	0.0	1229.96	38.04
BNNCDS	B	N	N	C	D	S	0.0	0.0	0.0	81.48	2.52
BNNCDM	B	N	N	C	D	M	0.0	0.0	0.0	523.8	16.2
BNNCDL	B	N	N	C	D	L	0.0	0.0	0.0	1673.25	51.75
BNNCWS	B	N	N	C	W	S	0.0	0.0	0.0	103.79	3.21
BNNCWP	B	N	N	C	W	P	0.0	0.0	0.0	300.7	9.299999999999999
BNNCWM	B	N	N	C	W	M	0.0	0.0	0.0	1614.08	49.92
BNNCWL	B	N	N	C	W	L	0.0	0.0	0.0	4170.03	128.97
BNNCCS	B	N	N	C	C	S	0.0	0.0	94.09	0.0	2.9099999999999997
BNNCCP	B	N	N	C	C	P	0.0	0.0	0.0	631.47	19.529999999999998
BNNCCM	B	N	N	C	C	M	0.0	0.0	0.0	1312.41	40.589999999999996
BNNCCL	B	N	N	C	C	L	0.0	0.0	0.0	3997.37	123.63
BNNCIM	B	N	N	C	I	M	0.0	0.0	0.0	59.17	1.8299999999999998
BNNCIL	B	N	N	C	I	L	0.0	0.0	0.0	239.59	7.41
BNNCAP	B	N	N	C	A	P	0.0	0.0	0.0	62.08	1.92
BNNCAM	B	N	N	C	A	M	0.0	0.0	0.0	61.11	1.89
BNNCAL	B	N	N	C	A	L	0.0	0.0	0.0	324.95	10.049999999999999
BNNCLM	B	N	N	C	L	M	0.0	0.0	0.0	89.24	2.76
BNNCLL	B	N	N	C	L	L	0.0	0.0	0.0	175.57	5.43
BNNRPL	B	N	N	R	P	L	0.0	0.0	0.0	112.52	3.48
BNNRDL	B	N	N	R	D	L	0.0	0.0	0.0	74.69	2.31
BNNRWP	B	N	N	R	W	P	0.0	0.0	0.0	65.96	2.04
BNNRWM	B	N	N	R	W	M	0.0	0.0	0.0	282.27	8.73
BNNRWL	B	N	N	R	W	L	0.0	0.0	0.0	914.71	28.29
BNNRCM	B	N	N	R	C	M	0.0	0.0	0.0	344.35	10.65
BNNRCL	B	N	N	R	C	L	0.0	0.0	0.0	1655.79	51.21
BNOHWL	B	N	O	H	W	L	0.0	0.0	0.0	278.39	8.61
BNOHCM	B	N	O	H	C	M	0.0	0.0	0.0	129.01	3.9899999999999998
BNOHCL	B	N	O	H	C	L	0.0	0.0	0.0	654.75	20.25
BNORPL	B	N	O	R	P	L	0.0	0.0	0.0	123.19	3.81
BNORDM	B	N	O	R	D	M	0.0	0.0	0.0	87.3	2.6999999999999997
BNORDL	B	N	O	R	D	L	0.0	0.0	0.0	165.87	5.13
BNORWP	B	N	O	R	W	P	0.0	0.0	0.0	67.9	2.1
BNORWM	B	N	O	R	W	M	0.0	0.0	0.0	157.14	4.859999999999999
BNORWL	B	N	O	R	W	L	0.0	0.0	0.0	1297.86	40.14
BNORCM	B	N	O	R	C	M	0.0	0.0	0.0	373.45	11.549999999999999
BNORCL	B	N	O	R	C	L	0.0	0.0	0.0	2328.97	72.03
BNPHWM	B	N	P	H	W	M	0.0	0.0	0.0	87.3	2.6999999999999997
BNPHWL	B	N	P	H	W	L	0.0	0.0	0.0	237.65	7.35
BNPHCP	B	N	P	H	C	P	0.0	0.0	0.0	54.32	1.68
BNPHCM	B	N	P	H	C	M	0.0	0.0	0.0	130.95	4.05
BNPHCL	B	N	P	H	C	L	0.0	0.0	0.0	463.66	14.34
BNPCCL	B	N	P	C	C	L	0.0	0.0	0.0	75.66	2.34
BNPRPL	B	N	P	R	P	L	0.0	0.0	0.0	74.69	2.31
BNPRDL	B	N	P	R	D	L	0.0	0.0	0.0	63.05	1.95
BNPRWP	B	N	P	R	W	P	0.0	0.0	0.0	60.14	1.8599999999999999
BNPRWM	B	N	P	R	W	M	0.0	0.0	0.0	213.4	6.6
BNPRWL	B	N	P	R	W	L	0.0	0.0	0.0	719.74	22.259999999999998
BNPRCP	B	N	P	R	C	P	0.0	0.0	0.0	69.84	2.16
BNPRCM	B	N	P	R	C	M	0.0	0.0	0.0	313.31	9.69
BNPRCL	B	N	P	R	C	L	0.0	0.0	0.0	1208.62	37.379999999999995
BNPRAL	B	N	P	R	A	L	0.0	0.0	0.0	114.46	3.54
BNSHWS	B	N	S	H	W	S	0.0	0.0	0.0	208.55	6.45
BNSHWP	B	N	S	H	W	P	0.0	0.0	0.0	109.61	3.3899999999999997
BNSHWM	B	N	S	H	W	M	0.0	0.0	0.0	199.82	6.18
BNSHWL	B	N	S	H	W	L	0.0	0.0	0.0	944.78	29.22
BNSHCS	B	N	S	H	C	S	0.0	0.0	105.73	0.0	3.27
BNSHCP	B	N	S	H	C	P	0.0	0.0	0.0	63.05	1.95
BNSHCM	B	N	S	H	C	M	0.0	0.0	0.0	284.21	8.79
BNSHCL	B	N	S	H	C	L	0.0	0.0	0.0	1568.49	48.51
BNSHIL	B	N	S	H	I	L	0.0	0.0	0.0	55.29	1.71
BNSHLL	B	N	S	H	L	L	0.0	0.0	0.0	100.88	3.12
BNSRPL	B	N	S	R	P	L	0.0	0.0	0.0	625.65	19.349999999999998
BNSRDS	B	N	S	R	D	S	0.0	0.0	0.0	64.02	1.98
BNSRDM	B	N	S	R	D	M	0.0	0.0	0.0	204.67	6.33
BNSRDL	B	N	S	R	D	L	0.0	0.0	0.0	480.15	14.85
BNSRWS	B	N	S	R	W	S	0.0	0.0	0.0	528.65	16.349999999999998
BNSRWP	B	N	S	R	W	P	0.0	0.0	0.0	637.29	19.71
BNSRWM	B	N	S	R	W	M	0.0	0.0	0.0	776.97	24.029999999999998
BNSRWL	B	N	S	R	W	L	0.0	0.0	0.0	4880.07	150.93
BNSRCS	B	N	S	R	C	S	0.0	0.0	0.0	177.51	5.49
BNSRCP	B	N	S	R	C	P	0.0	0.0	0.0	439.41	13.59
BNSRCM	B	N	S	R	C	M	0.0	0.0	0.0	1791.59	55.41
BNSRCL	B	N	S	R	C	L	0.0	0.0	0.0	8615.54	266.46
BNSRLL	B	N	S	R	L	L	0.0	0.0	0.0	85.36	2.6399999999999997
URNLCL	U	R	N	L	C	L	0.0	0.0	0.0	145.5	4.5
URNHWL	U	R	N	H	W	L	0.0	0.0	0.0	101.85	3.15
URNHCL	U	R	N	H	C	L	0.0	0.0	0.0	185.27	5.7299999999999995
URNCWL	U	R	N	C	W	L	0.0	0.0	0.0	108.64	3.36
URNCCL	U	R	N	C	C	L	0.0	0.0	0.0	108.64	3.36
URNRCL	U	R	N	R	C	L	0.0	0.0	0.0	212.43	6.569999999999999
UROHCL	U	R	O	H	C	L	0.0	0.0	0.0	49.47	1.53
URORCL	U	R	O	R	C	L	0.0	0.0	0.0	99.91	3.09
URPHWL	U	R	P	H	W	L	0.0	0.0	0.0	110.58	3.42
URPHCL	U	R	P	H	C	L	0.0	0.0	0.0	304.58	9.42
URPRWS	U	R	P	R	W	S	0.0	0.0	0.0	56.26	1.74
URPRWP	U	R	P	R	W	P	0.0	0.0	0.0	57.23	1.77
URPRWL	U	R	P	R	W	L	0.0	0.0	0.0	391.88	12.12
URPRCM	U	R	P	R	C	M	0.0	0.0	0.0	72.75	2.25
URPRCL	U	R	P	R	C	L	0.0	0.0	0.0	934.11	28.89
UNNHWS	U	N	N	H	W	S	0.0	0.0	0.0	53.35	1.65
UNNHWL	U	N	N	H	W	L	0.0	0.0	0.0	73.72	2.28
UNNHCL	U	N	N	H	C	L	0.0	0.0	0.0	149.38	4.62
UNNRWL	U	N	N	R	W	L	0.0	0.0	0.0	113.49	3.51
UNNRCL	U	N	N	R	C	L	0.0	0.0	0.0	238.62	7.38
UNOHWL	U	N	O	H	W	L	0.0	0.0	0.0	345.32	10.68
UNOHCL	U	N	O	H	C	L	0.0	0.0	0.0	805.1	24.9
UNORWL	U	N	O	R	W	L	0.0	0.0	0.0	287.12	8.879999999999999
UNORCM	U	N	O	R	C	M	0.0	0.0	0.0	78.57	2.4299999999999997
UNORCL	U	N	O	R	C	L	0.0	0.0	0.0	924.41	28.59
UNPHWL	U	N	P	H	W	L	0.0	0.0	0.0	260.93	8.07
UNPHCL	U	N	P	H	C	L	0.0	0.0	0.0	492.76	15.24
UNPHAL	U	N	P	H	A	L	0.0	0.0	0.0	62.08	1.92
UNPRWL	U	N	P	R	W	L	0.0	0.0	0.0	491.79	15.209999999999999
UNPRCS	U	N	P	R	C	S	0.0	54.32	0.0	0.0	1.68
UNPRCM	U	N	P	R	C	M	0.0	0.0	0.0	59.17	1.8299999999999998
UNPRCL	U	N	P	R	C	L	0.0	0.0	0.0	977.76	30.24
UNPRAL	U	N	P	R	A	L	0.0	0.0	0.0	100.88	3.12
UNSHWS	U	N	S	H	W	S	0.0	0.0	0.0	1131.02	34.98
UNSHWP	U	N	S	H	W	P	0.0	0.0	0.0	148.41	4.59
UNSHWM	U	N	S	H	W	M	0.0	0.0	0.0	224.07	6.93
UNSHWL	U	N	S	H	W	L	0.0	0.0	0.0	2133.03	65.97
UNSHCS	U	N	S	H	C	S	0.0	0.0	468.51	0.0	14.49
UNSHCP	U	N	S	H	C	P	0.0	0.0	0.0	174.6	5.3999999999999995
UNSHCM	U	N	S	H	C	M	0.0	0.0	0.0	314.28	9.719999999999999
UNSHCL	U	N	S	H	C	L	0.0	0.0	0.0	4155.48	128.51999999999998
UNSHAS	U	N	S	H	A	S	0.0	0.0	182.36	0.0	5.64
UNSHAL	U	N	S	H	A	L	0.0	0.0	0.0	125.13	3.8699999999999997
UNSHLL	U	N	S	H	L	L	0.0	0.0	0.0	142.59	4.41
UNSRPL	U	N	S	R	P	L	0.0	0.0	0.0	75.66	2.34
UNSRDM	U	N	S	R	D	M	0.0	0.0	0.0	57.23	1.77
UNSRDL	U	N	S	R	D	L	0.0	0.0	0.0	96.03	2.9699999999999998
UNSRWS	U	N	S	R	W	S	0.0	0.0	0.0	930.23	28.77
UNSRWP	U	N	S	R	W	P	0.0	0.0	0.0	161.99	5.01
UNSRWM	U	N	S	R	W	M	0.0	0.0	0.0	322.04	9.959999999999999
UNSRWL	U	N	S	R	W	L	0.0	0.0	0.0	2872.17	88.83
UNSRCS	U	N	S	R	C	S	0.0	0.0	0.0	281.3	8.7
UNSRCP	U	N	S	R	C	P	0.0	0.0	0.0	252.2	7.8
UNSRCM	U	N	S	R	C	M	0.0	0.0	0.0	579.09	17.91
UNSRCL	U	N	S	R	C	L	0.0	0.0	0.0	6599.88	204.12
UNSRAS	U	N	S	R	A	S	0.0	0.0	82.45	0.0	2.55
UNSRAL	U	N	S	R	A	L	0.0	0.0	0.0	72.75	2.25
UNSRLL	U	N	S	R	L	L	0.0	0.0	0.0	185.27	5.7299999999999995
KRNLPM	K	R	N	L	P	M	0.0	0.0	0.0	1015.59	31.41
KRNLPL	K	R	N	L	P	L	0.0	0.0	0.0	199.82	6.18
KRNLDM	K	R	N	L	D	M	0.0	0.0	0.0	155.2	4.8
KRNLDL	K	R	N	L	D	L	0.0	0.0	0.0	170.72	5.279999999999999
KRNLWS	K	R	N	L	W	S	0.0	0.0	0.0	92.15	2.85
KRNLWP	K	R	N	L	W	P	0.0	0.0	0.0	454.93	14.07
KRNLWM	K	R	N	L	W	M	0.0	0.0	0.0	2127.21	65.78999999999999
KRNLWL	K	R	N	L	W	L	0.0	0.0	0.0	3645.26	112.74
KRNLCP	K	R	N	L	C	P	0.0	0.0	0.0	97.97	3.03
KRNLCM	K	R	N	L	C	M	0.0	0.0	0.0	1048.57	32.43
KRNLCL	K	R	N	L	C	L	0.0	0.0	0.0	2529.76	78.24
KRNLIS	K	R	N	L	I	S	0.0	0.0	275.48	0.0	8.52
KRNLIP	K	R	N	L	I	P	0.0	0.0	0.0	342.41	10.59
KRNLIM	K	R	N	L	I	M	0.0	0.0	0.0	1907.02	58.98
KRNLIL	K	R	N	L	I	L	0.0	0.0	0.0	3236.89	100.11
KRNLAS	K	R	N	L	A	S	0.0	0.0	68.87	0.0	2.13
KRNLAP	K	R	N	L	A	P	0.0	0.0	0.0	234.74	7.26
KRNLAM	K	R	N	L	A	M	0.0	0.0	0.0	808.01	24.99
KRNLAL	K	R	N	L	A	L	0.0	0.0	0.0	2714.06	83.94
KRNLLP	K	R	N	L	L	P	0.0	0.0	0.0	119.31	3.69
KRNLLM	K	R	N	L	L	M	0.0	0.0	0.0	631.47	19.529999999999998
KRNLLL	K	R	N	L	L	L	0.0	0.0	0.0	483.06	14.94
KRNHWL	K	R	N	H	W	L	0.0	0.0	0.0	59.17	1.8299999999999998
KRNHCL	K	R	N	H	C	L	0.0	0.0	0.0	109.61	3.3899999999999997
KRNCPM	K	R	N	C	P	M	0.0	0.0	0.0	2993.42	92.58
KRNCPL	K	R	N	C	P	L	0.0	0.0	0.0	2795.54	86.46
KRNCDM	K	R	N	C	D	M	0.0	0.0	0.0	474.33	14.67
KRNCDL	K	R	N	C	D	L	0.0	0.0	0.0	1286.22	39.78
KRNCWS	K	R	N	C	W	S	0.0	0.0	0.0	127.07	3.9299999999999997
KRNCWP	K	R	N	C	W	P	0.0	0.0	0.0	296.82	9.18
KRNCWM	K	R	N	C	W	M	0.0	0.0	0.0	2152.43	66.57
KRNCWL	K	R	N	C	W	L	0.0	0.0	0.0	2771.29	85.71
KRNCCP	K	R	N	C	C	P	0.0	0.0	0.0	58.2	1.7999999999999998
KRNCCM	K	R	N	C	C	M	0.0	0.0	0.0	522.83	16.169999999999998
KRNCCL	K	R	N	C	C	L	0.0	0.0	0.0	1571.4	48.6
KRNCIS	K	R	N	C	I	S	0.0	0.0	0.0	198.85	6.1499999999999995
KRNCIP	K	R	N	C	I	P	0.0	0.0	0.0	309.43	9.57
KRNCIM	K	R	N	C	I	M	0.0	0.0	0.0	1785.77	55.23
KRNCIL	K	R	N	C	I	L	0.0	0.0	0.0	3006.03	92.97
KRNCAS	K	R	N	C	A	S	0.0	0.0	113.49	0.0	3.51
KRNCAP	K	R	N	C	A	P	0.0	0.0	0.0	97.97	3.03
KRNCAM	K	R	N	C	A	M	0.0	0.0	0.0	493.73	15.27
KRNCAL	K	R	N	C	A	L	0.0	0.0	0.0	1284.28	39.72
KRNCLM	K	R	N	C	L	M	0.0	0.0	0.0	345.32	10.68
KRNCLL	K	R	N	C	L	L	0.0	0.0	0.0	284.21	8.79
KRNRPM	K	R	N	R	P	M	0.0	0.0	0.0	1148.48	35.519999999999996
KRNRPL	K	R	N	R	P	L	0.0	0.0	0.0	1296.89	40.11
KRNRDS	K	R	N	R	D	S	0.0	0.0	0.0	56.26	1.74
KRNRDM	K	R	N	R	D	M	0.0	0.0	0.0	1008.8	31.2
KRNRDL	K	R	N	R	D	L	0.0	0.0	0.0	1696.53	52.47
KRNRWS	K	R	N	R	W	S	0.0	0.0	0.0	128.04	3.96
KRNRWM	K	R	N	R	W	M	0.0	0.0	0.0	358.9	11.1
KRNRWL	K	R	N	R	W	L	0.0	0.0	0.0	566.48	17.52
KRNRCM	K	R	N	R	C	M	0.0	0.0	0.0	108.64	3.36
KRNRCL	K	R	N	R	C	L	0.0	0.0	0.0	283.24	8.76
KRNRIP	K	R	N	R	I	P	0.0	0.0	0.0	146.47	4.53
KRNRIM	K	R	N	R	I	M	0.0	0.0	0.0	595.58	18.419999999999998
KRNRIL	K	R	N	R	I	L	0.0	0.0	0.0	1892.47	58.53
KRNRAM	K	R	N	R	A	M	0.0	0.0	0.0	117.37	3.63
KRNRAL	K	R	N	R	A	L	0.0	0.0	0.0	245.41	7.59
KRNRLM	K	R	N	R	L	M	0.0	0.0	0.0	61.11	1.89
KRNRLL	K	R	N	R	L	L	0.0	0.0	0.0	151.32	4.68
KROLPM	K	R	O	L	P	M	0.0	0.0	0.0	53.35	1.65
KROLWL	K	R	O	L	W	L	0.0	0.0	0.0	537.38	16.62
KROLCM	K	R	O	L	C	M	0.0	0.0	0.0	64.99	2.01
KROLCL	K	R	O	L	C	L	0.0	0.0	0.0	599.46	18.54
KROLIP	K	R	O	L	I	P	0.0	0.0	0.0	89.24	2.76
KROLIM	K	R	O	L	I	M	0.0	0.0	0.0	307.49	9.51
KROLIL	K	R	O	L	I	L	0.0	0.0	0.0	579.09	17.91
KROLAM	K	R	O	L	A	M	0.0	0.0	0.0	194.0	6.0
KROLAL	K	R	O	L	A	L	0.0	0.0	0.0	402.55	12.45
KROLLM	K	R	O	L	L	M	0.0	0.0	0.0	101.85	3.15
KROLLL	K	R	O	L	L	L	0.0	0.0	0.0	131.92	4.08
